chapter 2018 september 04 [ latinx ] hangry and 840 more words 
entertainment industry in regard to [ latinx ] artists the group of writers 
7 of tv writers are [ latinx ] despite making up 18 3 
the importance of hiring more [ latinx ] talent including in in decision 
initiative started by the untitled [ latinx ] project ulp an all latina 
vida to increase representation of [ latinx ] created stories for television read 
many of us in the [ latinx ] community have found it difficult 
of whom also identify as [ latinx ] we stand in solidarity with 
change in our industry as [ latinx ] showrunners creators tv and feature 
by the continued lack of [ latinx ] representation in our industry especially 
culture take place but while [ latinx ] are 18 3 of the 
7 of tv writers as [ latinx ] writers move up to showrunner 
exclusion we are tired of [ latinx ] projects being developed with no 
projects being developed with no [ latinx ] writer director or producer attached 
we couldn t find any [ latinx ] writers to hire we are 
hire we are tired of [ latinx ] writers being asked to repeat 
helps perpetuate the narrative that [ latinx ] writers don t exist at 
not enough to hire one [ latinx ] writer and expect them to 
our community la lista the [ latinx ] writers afro latinx list if 
lista the latinx writers afro [ latinx ] list if you re a 
if you re a non [ latinx ] white writer and are offered 
writer and are offered a [ latinx ] centered project with no latinx 
latinx centered project with no [ latinx ] writer director or producer at 
to and advocating for a [ latinx ] writer while we recognize that 
voices and experiences until the [ latinx ] community is close to reaching 
a handful of pilots by [ latinx ] writers are bought each year 
and gentefied it s clear [ latinx ] stories find loyal audiences and 
are more than just white [ latinx ] and mestizxs we are black 
regular promotions like our non [ latinx ] white counterparts for too long 
5 hire us for non [ latinx ] projects we are able to 
ready to lead hollywood s [ latinx ] revolution by yvonne villarreal producer 
series this year featuring a [ latinx ] cast at a time when 
time when calls for more [ latinx ] representation are growing louder we 
their outdated perceptions of the [ latinx ] market so much of what 
in an effort to bolster [ latinx ] representation on screen one project 
s this huge market of [ latinx ] latino people that our stories 
tv leads were played by [ latinx ] actors they also played 5 
signed by more than 270 [ latinx ] tv creators including vida s 
to finding opportunities to showcase [ latinx ] stories on the network he 
to the channel in particular [ latinx ] representation says lehrer now the 
people s understanding of what [ latinx ] culture is and is also 
people s understanding of what [ latinx ] characters on tv can look 
why we chose the name [ latinx ] files for our new newsletter 
me that choosing to have [ latinx ] in the name of the 
so why call it the [ latinx ] files for me the use 
why i chose to use [ latinx ] when i say that i 
a coincidence that the word [ latinx ] gained popularity after the 2016 
many of those killed were [ latinx ] the shooter opened fire on 
don t use the word [ latinx ] i m not saying that 
the early viral pieces against [ latinx ] and here s one published 
of them do exclude others [ latinx ] to me is the one 
everyone i also realize that [ latinx ] is not as widely used 
i m planning on using [ latinx ] you will only see it 
will not become the congressional [ latinx ] caucus nor will latino usa 
nor will latino usa become [ latinx ] usa to me the term 
usa to me the term [ latinx ] is also a nod to 
most likely to use it [ latinx ] is futuristic because it subverts 
name the goal of the [ latinx ] files is to get our 
a future that truly is [ latinx ] while still holding on to 
hello and welcome to the [ latinx ] files i m fidel martinez 
week is this your first [ latinx ] files newsletter have questions about 
was that when black and [ latinx ] people moved to the suburbs 
had discriminated against black and [ latinx ] residents through wrongful evictions that 
the relationship between latinos and [ latinx ] it s complicated by benjamin 
their success among arizona s [ latinx ] community in the latest presidential 
by not using the term [ latinx ] though presented as a personal 
broader significance the insertion of [ latinx ] into the election s postmortem 
who should be latinos allies [ latinx ] is of recent vintage emerging 
many of those killed were [ latinx ] it signals inclusion of individuals 
elizabeth warren s campaign adopted [ latinx ] for its latino outreach its 
latino adults use the label [ latinx ] though almost 15 of hispanic 
those who avoid it consider [ latinx ] an elitist and outsider identifier 
it postelection the use of [ latinx ] symbolizes an attempt to take 
is that politicians who use [ latinx ] are yielding to external sensibilities 
constituencies candidates who speak of [ latinx ] voters could damage their standing 
to emphasize their americanism like [ latinx ] these labels were seen as 
resistance for alleged inauthenticity like [ latinx ] today hispanic was controversial some 
objecting to the use of [ latinx ] should consider that the meanings 
the use and meaning of [ latinx ] will evolve and along with 
another despite its relative novelty [ latinx ] has taken its place in 
03 letters to the editor [ latinx ] sounds inauthentic but let s 
the emergence of the word [ latinx ] to identify those of us 
i am skeptical of the [ latinx ] i believe francis fallon s 
m not kidding and now [ latinx ] i suppose we do need 
but i m not sure [ latinx ] is the way to go 
freddie prinze are on the [ latinx ] mt rushmore of icons who 
is part of the broader [ latinx ] ethos the magnitude of this 
will open the door for [ latinx ] creatives to tell stories other 
s this huge market of [ latinx ] latino people that our stories 
has been particularly devastating for [ latinx ] californians and as we get 
j campa and luke money [ latinx ] residents of los angeles county 
1 in 2 residents is [ latinx ] it s not just l 
my colleagues also found that [ latinx ] enclaves across california have also 
people have to get it [ latinx ] people especially we don t 
a good sign that the [ latinx ] community will not be ignored 
mexican immigrants is the second [ latinx ] person to be nominated to 
none of this matters if [ latinx ] folks don t get vaccinated 
what about the fact that [ latinx ] soldiers were disproportionately killed in 
racially white this overrepresentation of [ latinx ] soldiers in vietnam by the 
the widespread ignorance of american [ latinx ] history is the museum mike 
at incorporating more exhibits about [ latinx ] history and culture as lee 
of america without properly capturing [ latinx ] stories the museum would bring 
be a decade of the [ latinx ] by fidel martinez as 1989 
frank del olmo the first [ latinx ] journalist to be named to 
that the income disparity between [ latinx ] and white americans had widened 
1994 fueling the same anti [ latinx ] and nativist sentiment that resulted 
every seven americans will be [ latinx ] but our place in this 
what will the future of [ latinx ] television look like by fidel 
was the beginning of a [ latinx ] boom in television his show 
that be are still ignoring [ latinx ] stories choosing instead to take 
much better job at telling [ latinx ] stories with series such as 
of what the future of [ latinx ] television might look like can 
within our culture on queer [ latinx ] identity and on how climate 
shown that the younger the [ latinx ] the more likely they are 
know what the future of [ latinx ] television might be like the 
has been a boon for [ latinx ] creators of all types folks 
18 how l a s [ latinx ] lgbtq community hopes to save 
lifeline for the city s [ latinx ] lgbtq community since the early 
been a refuge for the [ latinx ] lgbtq community a jotería space 
hurting covid vaccine rollout in [ latinx ] and black communities by fidel 
vaccination gap for black and [ latinx ] neighborhoods was being exploited by 
was intended for black and [ latinx ] communities noting that nothing in 
and disproportionately affects black and [ latinx ] neighborhoods it s the same 
system keeps failing black and [ latinx ] communities the vaccine rollout in 
march 04 netflix has a [ latinx ] problem by fidel martinez on 
of all stories had a [ latinx ] lead or co lead and 
of main cast members were [ latinx ] behind the camera the report 
of writers and directors were [ latinx ] these figures aren t a 
the company is aware that [ latinx ] millennials prefer their platform over 
ubiquitous and so accessible among [ latinx ] households that my immigrant father 
all stars how about a [ latinx ] bridgerton i promise you we 
them march 11 do these [ latinx ] movies deserve to be in 
national film registry needs more [ latinx ] movies for the unfamiliar the 
it also only includes 17 [ latinx ] films la bamba stand and 
few cultural markers of pan [ latinx ] identity that just about everyone 
hardly speak to the american [ latinx ] experience perhaps the caucus couldn 
hollywood when given the opportunity [ latinx ] filmmakers have still managed to 
their story on black and [ latinx ] retail investors from south los 
the wealth of the typical [ latinx ] family people from here that 
for doing a story on [ latinx ] wealth it s a topic 
homage to new mexico s [ latinx ] heritage by meredith maran the 
01 why do we need [ latinx ] heroes by fidel martinez when 
latinos asking the city s [ latinx ] residents to name their heroes 
been disproportionately devastating for the [ latinx ] community in los angeles and 
the secret behind this queer [ latinx ] owned plant shop is 4 
long beach s queer and [ latinx ] population for diaz that means 
my day june 05 black [ latinx ] and female entrepreneurs are still 
our only shot at a [ latinx ] blockbuster by fidel martinez if 
chicago all markets with significant [ latinx ] populations the film s top 
franchise to prominently feature a [ latinx ] character mexican actor demián bichir 
musical set in the predominantly [ latinx ] new york city neighborhood of 
being a watershed moment for [ latinx ] representation on the big screen 
heights needed to be the [ latinx ] black panther or crazy rich 
beats the franchise has woven [ latinx ] culture into the films without 
for in the heights afro [ latinx ] erasure by ruth etiesit samuel 
for the lack of afro [ latinx ] representation in the film adaptation 
dismayed by its minimal afro [ latinx ] and lgbtq representation on the 
about the lack of afro [ latinx ] representation most of your principal 
light skinned or white passing [ latinx ] people léon said with that 
on the lack of black [ latinx ] people represented in your film 
corey hawkins is not of [ latinx ] descent castmate leslie grace who 
lack of darker skinned black [ latinx ] people was something he admittedly 
address and combat homophobia in [ latinx ] communities chu told the root 
heights and the pitfalls of [ latinx ] representation by fidel martinez last 
be a watershed moment for [ latinx ] representation in hollywood the adaptation 
was being characterized as the [ latinx ] black panther or crazy rich 
there were so few afro [ latinx ] characters when the neighborhood it 
to represent is predominantly afro [ latinx ] the video went viral sparking 
colorism that exists within the [ latinx ] community the backlash was severe 
work of art as the [ latinx ] anything is a doomed endeavor 
of the total u s [ latinx ] population it s a reality 
in plain sight playing non [ latinx ] black roles because she didn 
conventional idea of what a [ latinx ] looks like she told cnn 
character to be explicitly afro [ latinx ] i need to speak my 
of latinidad june 24 more [ latinx ] families are raising their voices 
how police brutality affects the [ latinx ] community according to the washington 
fatal force database 1 061 [ latinx ] people have been shot and 
los angeles police department were [ latinx ] a disproportionately high figure given 
increasingly becoming more and more [ latinx ] this book came out of 
first winners of 5 million [ latinx ] artist fellowship program by jessica 
winners of the newly established [ latinx ] artist fellowship a program administered 
administered by the u s [ latinx ] art forum with support from 
established to address what the [ latinx ] art forum has called a 
systemic lack of support for [ latinx ] visual artists each year for 
5 million according to the [ latinx ] art forum annual philanthropic funding 
forum annual philanthropic funding for [ latinx ] arts and culture endeavors dipped 
for the arts grew the [ latinx ] artist fellowship seeks to heighten 
the visibility and impact of [ latinx ] visual artists by funding what 
some of the most compelling [ latinx ] artists working in america fellows 
magazine that would cater to [ latinx ] women her professor liked the 
that s happening with the [ latinx ] community a 2016 pew report 
of the overall u s [ latinx ] population something i ve noticed 
about it even the term [ latinx ] as i m sure you 
because she doesn t love [ latinx ] because she felt it was 
about what s ahead for [ latinx ] community by fidel martinez the 
matching the number of non [ latinx ] white people 39 8 who 
a memoirist s manifesto on [ latinx ] colorism by jean guerrero growing 
has been an increase in [ latinx ] americans reckoning with our colorism 
all these microaggressions in white [ latinx ] spaces but i was unable 
when i think of hispanic [ latinx ] month which kicked off yesterday 
yesterday the origins of hispanic [ latinx ] heritage month date back to 
30 days since then hispanic [ latinx ] heritage month has been largely 
america at some point hispanic [ latinx ] heritage month became a period 
acknowledging the existence of the [ latinx ] consumer it s toymaker mattel 
of the county that s [ latinx ] it s npr renaming its 
still happening in 2021 when [ latinx ] people account for nearly 1 
the totality of 60 million [ latinx ] people living in america with 
what others make of hispanic [ latinx ] heritage month what do the 
the youth think of hispanic [ latinx ] heritage month in preparation for 
get their thoughts on hispanic [ latinx ] heritage month let me tell 
going to support all these [ latinx ] businesses a little more today 
think for the most part [ latinx ] heritage month is full of 
just assume everybody who is [ latinx ] is mexican obviously that s 
be entirely cynical about hispanic [ latinx ] heritage month knowing how much 
the past achievements of the [ latinx ] community that he hadn t 
where the value in hispanic [ latinx ] heritage month lies yes it 
achievements struggles and histories of [ latinx ] americans a special shoutout to 
a special shoutout to the [ latinx ] chicanx professors out there a 
a pragmatic approach to hispanic [ latinx ] heritage month i asked iliana 
deputy sports editor and a [ latinx ] leader in the newsroom to 
between the size of the [ latinx ] population and the reaction if 
16 let s settle the [ latinx ] debate once and for all 
we delve into the term [ latinx ] whom does it refer to 
fidel martinez who writes the [ latinx ] files newsletter for the l 
from folks who identify as [ latinx ] and from l a times 
columnist jean guerrero she used [ latinx ] in a tweet recently and 
arellano guests l a times [ latinx ] files newsletter author fidel martinez 
are september 27 latiné vs [ latinx ] how a newly crowned tony 
but not universally loved term [ latinx ] latinx began appearing online in 
not universally loved term latinx [ latinx ] began appearing online in the 
yet on its specific origins [ latinx ] is definitely not used by 
out september 30 the six [ latinx ] geniuses by fidel martinez on 
therapies the rest of the [ latinx ] macarthur fellows have something in 
sue state alleging black and [ latinx ] students are harmed by disciplinary 
by melissa gomez black and [ latinx ] students are disproportionately harmed by 
disparate treatment of black and [ latinx ] students and evade responsibility school 
19 school year black and [ latinx ] students were often overrepresented in 
the riverside unified school district [ latinx ] students received 71 of expulsions 
a struggle for black and [ latinx ] californians report finds by justin 
an edition of his newsletter [ latinx ] files homes in los angeles 
nearly identical neighborhoods with large [ latinx ] black and asian populations are 
by uc davis researchers heavily [ latinx ] neighborhoods in los angeles were 
hotter than neighborhoods with fewer [ latinx ] residents during extreme heat days 
also happen to have large [ latinx ] populations notice a trend with 
and now thermal inequities the [ latinx ] community is bearing the brunt 
issue november 18 facebook s [ latinx ] disinformation problem by fidel martinez 
that disinformation was spreading in [ latinx ] communities according to a troubling 
been cooperative with lawmakers or [ latinx ] serving organizations working to combat 
of viral misinformation in the [ latinx ] community in june a group 
of a deficit within our [ latinx ] cultural context zamarripa said we 
into balance december 09 a [ latinx ] toll for generations to come 
pandemic has taken on the [ latinx ] community it s been rough 
discovered that the use of [ latinx ] by democratic politicians offends enough 
anti latino december 30 the [ latinx ] year that was by fidel 
the way it affected the [ latinx ] community sure 2021 brought us 
drove to predominantly black and [ latinx ] communities to get the shot 
border patrol and ice is [ latinx ] representation is important after all 
essential workers many of them [ latinx ] are back on the front 
repeating that it is the [ latinx ] community that will once again 
this happen in spring 2020 [ latinx ] workers were tasked with keeping 
recent issue the theme of [ latinx ] the issue is compelling for 
recent years archives amassed by [ latinx ] artists have been key to 
kind of gives it this [ latinx ] indie music street cred how 
time i talk to a [ latinx ] journalist they re like i 
it resonated with a young [ latinx ] audience it s the absolute 
january 27 column the term [ latinx ] wasn t made by woke 
s use of the term [ latinx ] claiming it s meant to 
dubious claim that the term [ latinx ] is a creation of white 
mostly younger ones identified as [ latinx ] rep ruben gallego d ariz 
massacre of 49 mostly queer [ latinx ] people at pulse the orlando 
language s male centric gendering [ latinx ] sought to cast an even 
some latinos particularly older ones [ latinx ] sounds weird they find it 
makes the case that both [ latinx ] and latino are anti indigenous 
colonial identity but for many [ latinx ] feels like an important act 
civil rights movement as well [ latinx ] researcher nicole guidotti hernández points 
news correspondent who wrote finding [ latinx ] isn t trying to force 
parenting through a group called [ latinx ] parenting faces similar vitriol latino 
gubernatorial recall election i used [ latinx ] in a tweet an army 
should default to the word [ latinx ] which doesn t come naturally 
t cast as either or [ latinx ] strives for inclusivity we don 
against one another latino versus [ latinx ] that s exactly what far 
makes it so hard for [ latinx ] to catch on rep ruben 
use of of the word [ latinx ] instead of latino to the 
is promoting the use of [ latinx ] it is unlikely to become 
spanish the push to use [ latinx ] is apparently due to the 
tell if speakers generally adopt [ latinx ] but we doubt it ronald 
s opinion regarding the term [ latinx ] but i disagree with it 
life so many stories from [ latinx ] writers who typically wouldn t 
the huge audience demand for [ latinx ] content says camila victoriano co 
spring titled punk in translation [ latinx ] origins an eight part audio 
17 the rise of the [ latinx ] creator by fidel martinez this 
times published two stories on [ latinx ] creators that caught my attention 
contreras and focused on the [ latinx ] tiktok house familia fuego what 
that center on us the [ latinx ] files is a group effort 
life so many stories from [ latinx ] writers who typically wouldn t 
the huge audience demand for [ latinx ] content says camila victoriano co 
notes in his story the [ latinx ] content house is partially funded 
discouraged about the lack of [ latinx ] representation in media but these 
diversity that exists within the [ latinx ] community if you read the 
star ariana debose makes lgbtq [ latinx ] history at sag awards by 
10 counties with the largest [ latinx ] populations were in the region 
of the total u s [ latinx ] population similarly the five non 
a bigger increase in its [ latinx ] population 148 than any other 
the last 10 years the [ latinx ] populations of mckenzie and williams 
also if you re a [ latinx ] living in north dakota or 
or in another non traditionally [ latinx ] part of the country hit 
companies the percentage of hispanic [ latinx ] employees working in technology positions 
tech workforce identified as hispanic [ latinx ] in 2020 at microsoft that 
identifies as female and hispanic [ latinx ] in contrast hispanic latinx people 
hispanic latinx in contrast hispanic [ latinx ] people compose 19 of the 
to increase its black and [ latinx ] workforce in the u s 
the day march 11 a [ latinx ] playwright hopes he never has 
received a rejection from a [ latinx ] theater festival the reasoning his 
bucket didn t feature any [ latinx ] themes according to the rejection 
that make anything i write [ latinx ] while cubría has had his 
after being rejected by the [ latinx ] theater festival something shifted within 
it had come from the [ latinx ] community that same night cubría 
company that is run by [ latinx ] people but they loved it 
lehane george pelecanos but also [ latinx ] crime writers like carolina garcia 
the l a times gascón [ latinx ] and more by gustavo arellano 
doesn t like the term [ latinx ] to refer to latinos shocking 
spanish language does not accept [ latinx ] he went on to ridicule 
in an attempt at inclusivity [ latinx ] to villanueva is kind of 
t traditionally known for their [ latinx ] populations i was inspired by 
think of latinxs but its [ latinx ] population increased by more than 
those more than 40 are [ latinx ] perhaps not coincidentally a poultry 
feelings of shame of being [ latinx ] though that changed in college 
as many voices in the [ latinx ] files as possible this week 
rivera in the early 2000s [ latinx ] audiences outside of her native 
some of the best alternative [ latinx ] music coming out of places 
that the buckeye state s [ latinx ] population is less than 5 
closures happened in white and [ latinx ] communities however researchers found no 
schools with mostly white or [ latinx ] students an asset pearman told 
south l a a majority [ latinx ] school we re seeing developers 
developed this space into a [ latinx ] community arts nonprofit in the 
space to help chicanx and [ latinx ] visual artists who were being 
obstacles avenue 50 centers on [ latinx ] work but has grown to 
today a covid milestone for [ latinx ] people by karen kaplan good 
researchers noticed something surprising about [ latinx ] people living in the southwestern 
expectancies were slightly higher for [ latinx ] men and women than they 
and prevention noted that although [ latinx ] residents were nearly three times 
produce and gym memberships fortunately [ latinx ] americans have other things going 
clock advances more slowly for [ latinx ] americans than it does for 
the average life expectancy of [ latinx ] people in the u s 
78 years in 2020 a [ latinx ] baby born in 2020 would 
covid 19 has taken on [ latinx ] communities and especially on working 
pandemic the longevity advantage for [ latinx ] residents had been wiped out 
reyes report the county s [ latinx ] residents suffered 756 deaths per 
511 deaths per 100 000 [ latinx ] residents meanwhile the mortality rate 
same time period that means [ latinx ] residents absorbed 78 more deaths 
than did white residents although [ latinx ] people experienced the largest increase 
higher to start with since [ latinx ] adults were more likely to 
a photo of an older [ latinx ] couple waiting in the crowd 
as el muerto the first [ latinx ] superhero to lead a live 
action treatment over more popular [ latinx ] characters such as spider man 
bad bunny is the latest [ latinx ] performer to be cast as 
s staff with hispanic and [ latinx ] staffers increasing 1 1 percentage 
bunny will become the first [ latinx ] superhero to lead a live 
